Tick,AverageTemperature,WhiteDaisyCount,BlackDaisyCount,TotalDaisyCount,SolarLuminosity
0,8.89,168,168,336,0.8000
1,13.33,164,531,695,0.8000
2,19.17,156,669,825,0.8000
3,23.71,148,691,839,0.8000
4,26.48,140,701,841,0.8000
5,28.27,132,707,839,0.8000
6,29.52,125,715,840,0.8000
7,30.48,120,720,840,0.8000
8,31.20,114,721,835,0.8000
9,31.79,111,729,840,0.8000
10,32.28,104,734,838,0.8000
11,32.83,93,746,839,0.8000
12,33.63,87,753,840,0.8000
13,34.33,86,752,838,0.8000
14,34.70,81,756,837,0.8000
15,35.11,76,762,838,0.8000
16,35.56,69,768,837,0.8000
17,36.11,62,773,835,0.8000
18,36.69,55,777,832,0.8000
19,37.28,45,786,831,0.8000
20,38.04,38,791,829,0.8000
21,38.73,35,790,825,0.8000
22,39.18,34,793,827,0.8000
23,39.47,23,803,826,0.8000
24,40.12,18,809,827,0.8000
25,40.69,25,538,563,0.8000
26,38.12,40,435,475,0.8000
27,35.30,53,522,575,0.8000
28,34.22,62,622,684,0.8000
29,34.31,66,677,743,0.8000
30,34.72,65,715,780,0.8000
31,35.33,65,727,792,0.8000
32,35.75,65,727,792,0.8000
33,35.96,65,725,790,0.8000
34,36.05,64,730,794,0.8000
35,36.18,63,730,793,0.8000
36,36.28,62,720,782,0.8000
37,36.27,62,723,785,0.8000
38,36.29,61,732,793,0.8000
39,36.43,60,728,788,0.8000
40,36.50,60,727,787,0.8000
41,36.52,59,723,782,0.8000
42,36.53,58,717,775,0.8000
43,36.52,57,724,781,0.8000
44,36.62,57,720,777,0.8000
45,36.63,54,717,771,0.8000
46,36.72,56,719,775,0.8000
47,36.70,54,726,780,0.8000
48,36.84,54,722,776,0.8000
49,36.87,54,722,776,0.8000
50,36.88,40,709,749,0.8000
51,37.29,23,648,671,0.8000
52,37.55,12,612,624,0.8000
53,37.75,8,590,598,0.8000
54,37.79,4,586,590,0.8000
55,37.92,5,631,636,0.8000
56,38.38,5,693,698,0.8000
57,39.20,5,738,743,0.8000
58,40.04,6,756,762,0.8000
59,40.59,7,764,771,0.8000
60,40.91,7,770,777,0.8000
61,41.12,7,768,775,0.8000
62,41.21,6,762,768,0.8000
63,41.24,7,754,761,0.8000
64,41.14,8,751,759,0.8000
65,41.02,7,748,755,0.8000
66,40.97,7,747,754,0.8000
67,40.93,7,742,749,0.8000
68,40.87,7,729,736,0.8000
69,40.71,8,729,737,0.8000
70,40.60,8,719,727,0.8000
71,40.44,6,720,726,0.8000
72,40.45,6,720,726,0.8000
73,40.46,6,732,738,0.8000
74,40.57,6,736,742,0.8000
75,40.67,8,693,701,0.8000
76,40.23,12,638,650,0.8000
77,39.34,17,596,613,0.8000
78,38.30,23,608,631,0.8000
79,37.67,29,592,621,0.8000
80,36.98,35,569,604,0.8000
81,36.19,36,562,598,0.8000
82,35.69,36,577,613,0.8000
83,35.59,36,600,636,0.8000
84,35.75,35,654,689,0.8000
85,36.39,35,688,723,0.8000
86,37.03,35,726,761,0.8000
87,37.72,34,753,787,0.8000
88,38.35,33,756,789,0.8000
89,38.74,34,756,790,0.8000
90,38.89,35,760,795,0.8000
91,38.97,35,770,805,0.8000
92,39.11,36,767,803,0.8000
93,39.11,36,762,798,0.8000
94,39.06,35,762,797,0.8000
95,39.07,35,761,796,0.8000
96,39.07,35,760,795,0.8000
97,39.06,35,747,782,0.8000
98,38.93,35,742,777,0.8000
99,38.82,35,750,785,0.8000
100,38.84,31,736,767,0.8000
101,38.86,27,718,745,0.8000
102,38.86,23,679,702,0.8000
103,38.63,18,662,680,0.8000
104,38.54,17,657,674,0.8000
105,38.49,19,647,666,0.8000
106,38.29,20,652,672,0.8000
107,38.20,19,623,642,0.8000
108,37.92,19,601,620,0.8000
109,37.56,23,592,615,0.8000
110,37.15,31,610,641,0.8000
111,36.82,35,625,660,0.8000
112,36.64,43,660,703,0.8000
113,36.59,50,698,748,0.8000
114,36.67,49,725,774,0.8000
115,37.00,49,734,783,0.8000
116,37.25,50,745,795,0.8000
117,37.45,49,749,798,0.8000
118,37.62,49,750,799,0.8000
119,37.71,49,756,805,0.8000
120,37.82,49,753,802,0.8000
121,37.84,49,749,798,0.8000
122,37.82,49,748,797,0.8000
123,37.79,49,741,790,0.8000
124,37.72,49,746,795,0.8000
125,37.72,49,736,785,0.8000
126,37.63,49,728,777,0.8000
127,37.51,47,727,774,0.8000
128,37.52,44,709,753,0.8000
129,37.46,36,682,718,0.8000
130,37.47,34,670,704,0.8000
131,37.44,33,662,695,0.8000
