Tick,AverageTemperature,WhiteDaisyCount,BlackDaisyCount,TotalDaisyCount,SolarLuminosity
0,8.89,168,168,336,0.8000
1,13.33,161,560,721,0.8000
2,19.56,158,670,828,0.8000
3,23.83,150,689,839,0.8000
4,26.45,145,696,841,0.8000
5,28.02,141,699,840,0.8000
6,28.98,130,710,840,0.8000
7,29.98,123,717,840,0.8000
8,30.80,116,723,839,0.8000
9,31.54,109,730,839,0.8000
10,32.23,108,731,839,0.8000
11,32.63,101,739,840,0.8000
12,33.17,92,744,836,0.8000
13,33.82,87,752,839,0.8000
14,34.41,80,754,834,0.8000
15,34.99,81,755,836,0.8000
16,35.25,75,757,832,0.8000
17,35.62,65,771,836,0.8000
18,36.32,61,774,835,0.8000
19,36.84,54,777,831,0.8000
20,37.40,50,779,829,0.8000
21,37.84,49,778,827,0.8000
22,38.09,40,782,822,0.8000
23,38.59,35,791,826,0.8000
24,39.12,32,791,823,0.8000
25,39.49,27,523,550,0.8000
26,37.31,41,424,465,0.8000
27,34.74,59,522,581,0.8000
28,33.72,67,647,714,0.8000
29,34.11,67,714,781,0.8000
30,34.94,65,739,804,0.8000
31,35.67,64,744,808,0.8000
32,36.12,64,742,806,0.8000
33,36.33,65,745,810,0.8000
34,36.42,64,746,810,0.8000
35,36.51,64,749,813,0.8000
36,36.59,64,748,812,0.8000
37,36.62,64,745,809,0.8000
38,36.60,64,744,808,0.8000
39,36.59,62,742,804,0.8000
40,36.63,60,747,807,0.8000
41,36.78,60,736,796,0.8000
42,36.75,61,729,790,0.8000
43,36.63,61,734,795,0.8000
44,36.62,60,734,794,0.8000
45,36.65,59,733,792,0.8000
46,36.69,57,733,790,0.8000
47,36.79,56,731,787,0.8000
48,36.86,56,732,788,0.8000
49,36.90,56,737,793,0.8000
50,36.97,48,698,746,0.8000
51,36.93,32,642,674,0.8000
52,36.97,28,589,617,0.8000
53,36.64,27,562,589,0.8000
54,36.25,29,592,621,0.8000
55,36.27,30,649,679,0.8000
56,36.79,33,683,716,0.8000
57,37.26,32,717,749,0.8000
58,37.86,32,726,758,0.8000
59,38.24,33,744,777,0.8000
60,38.57,33,746,779,0.8000
61,38.75,32,742,774,0.8000
62,38.84,31,746,777,0.8000
63,38.96,33,755,788,0.8000
64,39.03,34,752,786,0.8000
65,39.00,34,755,789,0.8000
66,39.02,32,753,785,0.8000
67,39.08,30,751,781,0.8000
68,39.17,30,750,780,0.8000
69,39.20,30,740,770,0.8000
70,39.12,30,738,768,0.8000
71,39.06,30,735,765,0.8000
72,39.00,30,727,757,0.8000
73,38.90,30,725,755,0.8000
74,38.83,31,725,756,0.8000
75,38.75,28,697,725,0.8000
76,38.56,25,661,686,0.8000
77,38.24,24,626,650,0.8000
78,37.77,23,604,627,0.8000
79,37.37,23,583,606,0.8000
80,36.97,26,575,601,0.8000
81,36.58,26,593,619,0.8000
82,36.56,29,677,706,0.8000
83,37.24,29,687,716,0.8000
84,37.67,32,723,755,0.8000
85,38.12,32,740,772,0.8000
86,38.51,32,748,780,0.8000
87,38.78,34,747,781,0.8000
88,38.83,31,742,773,0.8000
89,38.92,31,736,767,0.8000
90,38.90,31,739,770,0.8000
91,38.93,32,741,773,0.8000
92,38.92,33,740,773,0.8000
93,38.87,33,748,781,0.8000
94,38.92,33,752,785,0.8000
95,38.98,32,755,787,0.8000
96,39.08,32,755,787,0.8000
