Tick,AverageTemperature,WhiteDaisyCount,BlackDaisyCount,TotalDaisyCount,SolarLuminosity
0,8.89,168,168,336,0.8000
1,13.33,162,448,610,0.8000
2,18.45,163,662,825,0.8000
3,23.02,158,681,839,0.8000
4,25.67,148,691,839,0.8000
5,27.47,141,700,841,0.8000
6,28.71,136,704,840,0.8000
7,29.56,128,712,840,0.8000
8,30.36,122,714,836,0.8000
9,31.01,115,720,835,0.8000
10,31.65,110,727,837,0.8000
11,32.22,104,730,834,0.8000
12,32.76,98,740,838,0.8000
13,33.35,94,742,836,0.8000
14,33.82,83,754,837,0.8000
15,34.58,75,759,834,0.8000
16,35.31,70,763,833,0.8000
17,35.89,67,766,833,0.8000
18,36.33,56,776,832,0.8000
19,37.06,49,784,833,0.8000
20,37.76,45,789,834,0.8000
21,38.31,39,793,832,0.8000
22,38.84,34,796,830,0.8000
23,39.33,29,800,829,0.8000
24,39.80,23,803,826,0.8000
25,40.28,22,626,648,0.8000
26,38.87,35,392,427,0.8000
27,35.45,55,467,522,0.8000
28,33.70,61,583,644,0.8000
29,33.71,62,673,735,0.8000
30,34.54,64,725,789,0.8000
31,35.37,64,738,802,0.8000
32,35.91,63,742,805,0.8000
33,36.26,62,734,796,0.8000
34,36.40,61,730,791,0.8000
35,36.46,61,731,792,0.8000
36,36.50,59,733,792,0.8000
37,36.62,58,735,793,0.8000
38,36.73,58,734,792,0.8000
39,36.78,59,724,783,0.8000
40,36.67,59,719,778,0.8000
41,36.57,58,719,777,0.8000
42,36.56,57,722,779,0.8000
43,36.62,58,711,769,0.8000
44,36.50,58,715,773,0.8000
45,36.48,59,720,779,0.8000
46,36.49,59,718,777,0.8000
47,36.47,60,718,778,0.8000
48,36.42,61,725,786,0.8000
49,36.43,62,723,785,0.8000
50,36.37,53,714,767,0.8000
51,36.60,29,662,691,0.8000
52,37.11,22,614,636,0.8000
53,37.17,28,573,601,0.8000
54,36.59,31,556,587,0.8000
55,36.02,34,601,635,0.8000
56,36.05,37,642,679,0.8000
57,36.35,39,693,732,0.8000
58,36.91,41,733,774,0.8000
59,37.50,41,745,786,0.8000
60,37.91,40,756,796,0.8000
61,38.25,41,752,793,0.8000
62,38.35,41,750,791,0.8000
63,38.38,41,755,796,0.8000
64,38.44,40,753,793,0.8000
