Step,Temperature,WhiteDaisies,BlackDaisies,GrayDaisies,TotalDaisies,SolarLuminosity
0,8.2304,168,168,84,420,0.8000
1,12.3456,159,394,158,711,0.8000
2,16.3216,150,487,187,824,0.8000
3,19.3090,142,504,193,839,0.8000
4,21.2180,131,518,189,838,0.8000
5,22.7497,127,522,191,840,0.8000
6,23.6880,121,527,193,841,0.8000
7,24.4142,114,533,193,840,0.8000
8,25.0969,105,542,194,841,0.8000
9,25.8537,100,547,192,839,0.8000
10,26.4829,92,556,192,840,0.8000
11,27.1832,85,558,196,839,0.8000
12,27.7836,78,568,194,840,0.8000
13,28.4572,73,570,196,839,0.8000
14,28.9849,65,577,198,840,0.8000
15,29.5998,57,583,200,840,0.8000
16,30.2488,53,587,199,839,0.8000
17,30.7692,50,593,198,841,0.8000
18,31.2069,44,595,199,838,0.8000
19,31.6620,37,600,202,839,0.8000
20,32.1761,33,601,203,837,0.8000
21,32.5849,32,602,203,837,0.8000
22,32.8363,29,598,209,836,0.8000
23,32.9894,25,599,212,836,0.8000
24,33.2020,17,605,215,837,0.8000
25,33.6420,11,483,209,703,0.8000
26,32.9683,22,413,259,694,0.8000
27,31.1604,23,437,324,784,0.8000
28,29.9409,24,452,346,822,0.8000
29,29.2653,24,452,356,832,0.8000
30,28.8494,23,451,362,836,0.8000
31,28.6226,22,446,369,837,0.8000
32,28.4442,22,438,379,839,0.8000
33,28.2006,22,432,384,838,0.8000
34,27.9825,22,425,390,837,0.8000
35,27.7597,22,422,392,836,0.8000
36,27.6040,20,424,391,835,0.8000
37,27.6281,21,415,399,835,0.8000
38,27.4542,20,414,402,836,0.8000
39,27.3718,19,410,410,839,0.8000
40,27.2674,18,404,415,837,0.8000
41,27.1564,18,399,421,838,0.8000
42,27.0063,17,396,426,839,0.8000
43,26.9010,17,393,430,840,0.8000
44,26.7885,17,387,436,840,0.8000
45,26.6281,17,381,440,838,0.8000
46,26.4594,17,377,444,838,0.8000
47,26.3056,17,375,447,839,0.8000
48,26.1862,17,375,446,838,0.8000
49,26.1343,17,371,450,838,0.8000
50,26.0389,7,343,451,801,0.8000
