Tick,AverageTemperature,WhiteDaisyCount,BlackDaisyCount,TotalDaisyCount,SolarLuminosity
0,8.89,168,168,336,0.8000
1,13.33,168,534,702,0.8000
2,19.05,164,665,829,0.8000
3,23.31,162,678,840,0.8000
4,25.64,156,683,839,0.8000
5,27.07,148,692,840,0.8000
6,28.18,146,694,840,0.8000
7,28.82,141,697,838,0.8000
8,29.36,136,702,838,0.8000
9,29.87,123,717,840,0.8000
10,30.75,117,720,837,0.8000
11,31.44,111,729,840,0.8000
12,32.10,105,733,838,0.8000
13,32.70,101,738,839,0.8000
14,33.19,96,742,838,0.8000
15,33.66,85,746,831,0.8000
16,34.35,76,754,830,0.8000
17,35.11,72,760,832,0.8000
18,35.69,63,769,832,0.8000
19,36.41,56,775,831,0.8000
20,37.08,50,775,825,0.8000
21,37.65,40,776,816,0.8000
22,38.31,37,780,817,0.8000
23,38.80,25,789,814,0.8000
24,39.58,21,790,811,0.8000
25,40.12,15,801,816,0.8000
26,40.73,12,536,548,0.8000
27,38.61,19,401,420,0.8000
28,36.00,28,448,476,0.8000
29,34.81,34,566,600,0.8000
30,35.11,37,688,725,0.8000
31,36.32,38,743,781,0.8000
32,37.41,36,760,796,0.8000
33,38.19,36,756,792,0.8000
34,38.55,36,754,790,0.8000
35,38.70,35,747,782,0.8000
36,38.75,35,740,775,0.8000
37,38.71,34,735,769,0.8000
38,38.68,32,736,768,0.8000
39,38.75,32,739,771,0.8000
40,38.81,32,737,769,0.8000
41,38.82,32,731,763,0.8000
42,38.77,33,726,759,0.8000
43,38.66,33,733,766,0.8000
44,38.67,33,722,755,0.8000
45,38.57,33,722,755,0.8000
46,38.52,33,721,754,0.8000
47,38.49,33,717,750,0.8000
48,38.43,33,717,750,0.8000
49,38.41,33,714,747,0.8000
50,38.36,32,712,744,0.8000
51,38.36,32,714,746,0.8000
52,38.38,27,694,721,0.8000
53,38.38,16,654,670,0.8000
54,38.42,8,593,601,0.8000
55,38.15,4,505,509,0.8000
56,37.33,4,465,469,0.8000
57,36.53,3,494,497,0.8000
58,36.45,3,575,578,0.8000
59,37.18,3,664,667,0.8000
60,38.40,3,757,760,0.8000
61,39.89,3,781,784,0.8000
62,40.87,4,782,786,0.8000
63,41.33,4,781,785,0.8000
64,41.55,5,774,779,0.8000
65,41.56,5,775,780,0.8000
66,41.57,5,775,780,0.8000
67,41.58,5,766,771,0.8000
68,41.50,4,756,760,0.8000
69,41.40,3,754,757,0.8000
70,41.37,3,755,758,0.8000
71,41.36,3,763,766,0.8000
72,41.43,3,764,767,0.8000
73,41.48,3,763,766,0.8000
74,41.49,3,754,757,0.8000
75,41.41,3,754,757,0.8000
76,41.37,3,757,760,0.8000
77,41.38,3,754,757,0.8000
78,41.36,4,732,736,0.8000
