Tick,AverageTemperature,WhiteDaisyCount,BlackDaisyCount,TotalDaisyCount,SolarLuminosity
0,8.89,168,168,336,0.8000
1,13.33,162,490,652,0.8000
2,18.85,153,658,811,0.8000
3,23.55,145,685,830,0.8000
4,26.46,140,696,836,0.8000
5,28.21,133,704,837,0.8000
6,29.42,123,715,838,0.8000
7,30.51,114,721,835,0.8000
8,31.45,108,729,837,0.8000
9,32.22,103,731,834,0.8000
10,32.81,97,740,837,0.8000
11,33.41,96,739,835,0.8000
12,33.75,89,745,834,0.8000
13,34.23,79,755,834,0.8000
14,34.94,77,755,832,0.8000
15,35.38,65,769,834,0.8000
16,36.17,55,777,832,0.8000
17,37.02,52,783,835,0.8000
18,37.62,46,785,831,0.8000
19,38.16,43,786,829,0.8000
20,38.55,38,791,829,0.8000
21,38.99,30,799,829,0.8000
22,39.58,28,797,825,0.8000
23,39.93,23,795,818,0.8000
24,40.27,21,799,820,0.8000
25,40.56,21,576,597,0.8000
26,38.57,36,395,431,0.8000
27,35.29,46,440,486,0.8000
28,33.70,57,555,612,0.8000
29,33.59,58,650,708,0.8000
30,34.41,58,703,761,0.8000
31,35.32,57,720,777,0.8000
32,35.98,58,733,791,0.8000
33,36.39,58,735,793,0.8000
34,36.62,58,733,791,0.8000
35,36.72,56,740,796,0.8000
36,36.90,54,733,787,0.8000
37,37.01,54,731,785,0.8000
38,37.04,55,724,779,0.8000
39,36.95,54,723,777,0.8000
40,36.94,54,720,774,0.8000
41,36.90,54,717,771,0.8000
42,36.85,53,719,772,0.8000
43,36.88,53,716,769,0.8000
44,36.87,52,720,772,0.8000
45,36.94,52,724,776,0.8000
46,37.01,50,729,779,0.8000
47,37.17,50,730,780,0.8000
48,37.26,48,732,780,0.8000
49,37.40,47,730,777,0.8000
50,37.49,36,709,745,0.8000
51,37.75,21,688,709,0.8000
52,38.23,7,619,626,0.8000
53,38.34,8,555,563,0.8000
54,37.75,9,532,541,0.8000
55,37.20,10,549,559,0.8000
56,37.04,11,596,607,0.8000
57,37.38,10,661,671,0.8000
58,38.21,10,707,717,0.8000
59,39.06,10,728,738,0.8000
60,39.69,10,727,737,0.8000
61,39.99,10,741,751,0.8000
62,40.28,10,746,756,0.8000
63,40.47,9,757,766,0.8000
64,40.70,9,758,767,0.8000
65,40.83,9,752,761,0.8000
66,40.84,9,748,757,0.8000
67,40.80,9,743,752,0.8000
68,40.74,9,746,755,0.8000
69,40.74,9,745,754,0.8000
70,40.72,8,739,747,0.8000
71,40.70,8,736,744,0.8000
72,40.66,8,740,748,0.8000
73,40.67,8,736,744,0.8000
74,40.64,8,741,749,0.8000
75,40.68,9,723,732,0.8000
76,40.48,9,692,701,0.8000
77,40.09,8,642,650,0.8000
78,39.46,5,627,632,0.8000
79,39.11,4,618,622,0.8000
80,38.88,3,602,605,0.8000
81,38.66,2,570,572,0.8000
82,38.28,2,554,556,0.8000
83,37.93,2,578,580,0.8000
84,37.99,2,611,613,0.8000
85,38.33,2,684,686,0.8000
86,39.20,2,716,718,0.8000
87,39.94,2,737,739,0.8000
88,40.51,2,743,745,0.8000
89,40.86,2,749,751,0.8000
90,41.08,2,751,753,0.8000
91,41.22,1,756,757,0.8000
92,41.37,1,757,758,0.8000
93,41.46,1,756,757,0.8000
94,41.49,1,761,762,0.8000
95,41.55,1,757,758,0.8000
96,41.55,1,755,756,0.8000
97,41.52,1,751,752,0.8000
98,41.48,1,748,749,0.8000
99,41.42,1,742,743,0.8000
100,41.34,0,731,731,0.8000
101,41.23,0,727,727,0.8000
102,41.14,0,726,726,0.8000
103,41.08,0,690,690,0.8000
104,40.71,0,657,657,0.8000
105,40.21,0,635,635,0.8000
106,39.75,0,620,620,0.8000
107,39.37,0,609,609,0.8000
108,39.08,0,597,597,0.8000
109,38.82,0,553,553,0.8000
110,38.27,0,543,543,0.8000
111,37.90,0,578,578,0.8000
112,38.05,0,635,635,0.8000
113,38.67,0,723,723,0.8000
114,39.82,0,759,759,0.8000
115,40.74,0,768,768,0.8000
116,41.28,0,773,773,0.8000
117,41.60,0,767,767,0.8000
118,41.70,0,769,769,0.8000
119,41.77,0,767,767,0.8000
120,41.79,0,766,766,0.8000
121,41.79,0,774,774,0.8000
122,41.86,0,777,777,0.8000
123,41.93,0,776,776,0.8000
124,41.96,0,777,777,0.8000
125,41.98,0,763,763,0.8000
126,41.85,0,745,745,0.8000
127,41.62,0,737,737,0.8000
128,41.43,0,744,744,0.8000
129,41.40,0,732,732,0.8000
130,41.27,0,729,729,0.8000
131,41.17,0,708,708,0.8000
132,40.93,0,670,670,0.8000
133,40.44,0,660,660,0.8000
134,40.10,0,635,635,0.8000
135,39.69,0,583,583,0.8000
136,38.99,0,535,535,0.8000
137,38.18,0,468,468,0.8000
138,37.14,0,469,469,0.8000
139,36.63,0,497,497,0.8000
140,36.64,0,544,544,0.8000
141,37.09,0,620,620,0.8000
142,38.05,0,670,670,0.8000
143,39.00,0,739,739,0.8000
144,40.14,0,775,775,0.8000
145,41.05,0,778,778,0.8000
146,41.53,0,776,776,0.8000
147,41.76,0,774,774,0.8000
148,41.85,0,773,773,0.8000
149,41.88,0,777,777,0.8000
150,41.94,0,775,775,0.8000
151,41.95,0,771,771,0.8000
152,41.92,0,767,767,0.8000
153,41.86,0,768,768,0.8000
154,41.84,0,753,753,0.8000
155,41.69,0,745,745,0.8000
156,41.54,0,755,755,0.8000
157,41.56,0,748,748,0.8000
158,41.50,0,753,753,0.8000
159,41.52,0,748,748,0.8000
160,41.48,0,730,730,0.8000
161,41.29,0,699,699,0.8000
162,40.90,0,661,661,0.8000
163,40.34,0,621,621,0.8000
164,39.68,0,570,570,0.8000
165,38.86,0,527,527,0.8000
166,38.04,0,486,486,0.8000
