Tick,AverageTemperature,WhiteDaisyCount,BlackDaisyCount,TotalDaisyCount,SolarLuminosity
0,8.89,168,168,336,0.8000
1,13.33,158,483,641,0.8000
2,18.93,152,651,803,0.8000
3,23.57,144,684,828,0.8000
4,26.50,134,702,836,0.8000
5,28.51,126,713,839,0.8000
6,29.92,117,720,837,0.8000
7,31.03,116,720,836,0.8000
8,31.62,114,725,839,0.8000
9,32.04,113,725,838,0.8000
10,32.29,110,728,838,0.8000
11,32.55,107,728,835,0.8000
12,32.80,97,741,838,0.8000
13,33.42,88,749,837,0.8000
14,34.14,82,755,837,0.8000
15,34.79,80,760,840,0.8000
16,35.23,73,762,835,0.8000
17,35.74,71,764,835,0.8000
18,36.08,69,768,837,0.8000
19,36.37,59,775,834,0.8000
20,36.95,56,779,835,0.8000
21,37.40,50,782,832,0.8000
22,37.87,51,775,826,0.8000
23,38.00,42,784,826,0.8000
24,38.49,35,790,825,0.8000
25,39.06,35,608,643,0.8000
26,37.60,52,451,503,0.8000
27,34.74,73,493,566,0.8000
28,32.92,96,630,726,0.8000
29,32.46,100,675,775,0.8000
30,32.51,101,701,802,0.8000
31,32.74,101,713,814,0.8000
32,32.97,97,722,819,0.8000
33,33.32,98,720,818,0.8000
34,33.44,98,723,821,0.8000
35,33.53,97,720,817,0.8000
36,33.59,97,719,816,0.8000
37,33.60,97,720,817,0.8000
38,33.62,95,716,811,0.8000
39,33.67,94,716,810,0.8000
40,33.73,95,716,811,0.8000
41,33.72,93,716,809,0.8000
42,33.79,94,713,807,0.8000
43,33.76,88,721,809,0.8000
44,34.05,89,722,811,0.8000
45,34.16,88,726,814,0.8000
46,34.29,89,722,811,0.8000
47,34.29,88,725,813,0.8000
48,34.35,89,719,808,0.8000
49,34.28,90,716,806,0.8000
50,34.19,83,699,782,0.8000
51,34.24,69,675,744,0.8000
52,34.56,52,603,655,0.8000
53,34.67,58,630,688,0.8000
54,34.75,61,671,732,0.8000
55,35.08,62,692,754,0.8000
56,35.40,63,708,771,0.8000
57,35.68,63,729,792,0.8000
58,36.02,60,739,799,0.8000
59,36.40,61,744,805,0.8000
60,36.60,60,749,809,0.8000
61,36.78,60,755,815,0.8000
62,36.93,61,751,812,0.8000
63,36.93,62,743,805,0.8000
64,36.82,62,744,806,0.8000
65,36.77,60,748,808,0.8000
66,36.86,58,747,805,0.8000
67,36.97,59,748,807,0.8000
68,36.99,61,739,800,0.8000
69,36.85,61,741,802,0.8000
70,36.79,60,744,804,0.8000
71,36.83,59,748,807,0.8000
72,36.93,58,747,805,0.8000
73,37.00,57,742,799,0.8000
74,37.03,56,742,798,0.8000
75,37.08,50,717,767,0.8000
76,37.09,44,676,720,0.8000
77,36.93,38,632,670,0.8000
78,36.66,31,611,642,0.8000
79,36.58,28,609,637,0.8000
80,36.63,31,645,676,0.8000
81,36.89,34,663,697,0.8000
82,37.08,36,681,717,0.8000
83,37.27,38,698,736,0.8000
84,37.46,38,726,764,0.8000
85,37.82,38,731,769,0.8000
86,38.04,38,732,770,0.8000
87,38.17,37,734,771,0.8000
88,38.29,37,735,772,0.8000
89,38.35,39,731,770,0.8000
90,38.27,38,741,779,0.8000
91,38.37,38,745,783,0.8000
92,38.45,37,750,787,0.8000
93,38.58,36,752,788,0.8000
94,38.70,36,756,792,0.8000
95,38.80,36,757,793,0.8000
96,38.86,36,759,795,0.8000
97,38.91,35,761,796,0.8000
98,38.99,36,758,794,0.8000
99,38.96,37,755,792,0.8000
100,38.88,38,741,779,0.8000
101,38.67,30,725,755,0.8000
102,38.71,31,687,718,0.8000
103,38.33,30,669,699,0.8000
104,38.01,26,629,655,0.8000
105,37.62,24,636,660,0.8000
106,37.56,23,659,682,0.8000
107,37.79,19,665,684,0.8000
108,38.11,18,686,704,0.8000
109,38.51,19,697,716,0.8000
110,38.78,19,708,727,0.8000
111,39.02,19,726,745,0.8000
112,39.31,20,733,753,0.8000
113,39.48,21,737,758,0.8000
114,39.57,21,740,761,0.8000
115,39.64,22,739,761,0.8000
116,39.63,22,739,761,0.8000
117,39.63,22,736,758,0.8000
118,39.60,22,727,749,0.8000
119,39.50,22,730,752,0.8000
120,39.47,22,729,751,0.8000
121,39.45,22,736,758,0.8000
122,39.51,22,741,763,0.8000
123,39.59,21,747,768,0.8000
124,39.72,20,749,769,0.8000
125,39.84,19,746,765,0.8000
126,39.91,18,722,740,0.8000
127,39.75,15,704,719,0.8000
128,39.62,19,698,717,0.8000
129,39.34,18,679,697,0.8000
130,39.06,17,644,661,0.8000
131,38.62,17,624,641,0.8000
132,38.21,17,596,613,0.8000
