Tick,AverageTemperature,WhiteDaisyCount,BlackDaisyCount
0,8.23,168,168
1,12.35,160,376
2,16.09,154,476
3,18.89,148,492
4,20.62,142,499
5,21.77,135,505
6,22.66,130,511
7,23.36,123,516
8,24.01,116,522
9,24.63,110,528
10,25.24,102,534
11,25.87,96,539
12,26.46,90,543
13,27.02,84,547
14,27.53,79,551
15,28.01,72,555
16,28.52,66,559
17,29.01,59,563
18,29.54,53,568
19,30.09,46,573
20,30.65,40,577
21,31.17,34,580
22,31.68,27,585
23,32.20,22,588
24,32.70,15,591
25,33.18,10,490
26,32.66,15,426
27,31.21,18,449
28,30.21,19,459
29,29.65,19,460
30,29.32,18,457
31,29.10,18,453
32,28.91,18,448
33,28.73,18,444
34,28.57,17,439
35,28.42,17,433
36,28.25,17,429
37,28.11,16,425
38,27.98,16,421
39,27.86,15,417
40,27.74,15,413
41,27.62,14,408
42,27.49,14,403
43,27.35,14,399
44,27.21,14,395
45,27.07,13,391
46,26.94,13,386
47,26.81,13,382
48,26.67,13,378
49,26.54,13,375
50,26.42,9,339
51,26.13,5,315
52,25.73,3,313
53,25.32,3,309
54,25.00,2,306
55,24.77,2,304
56,24.63,2,303
57,24.53,2,302
58,24.45,2,300
59,24.38,2,298
60,24.31,2,296
61,24.25,2,293
62,24.17,2,291
63,24.09,2,289
64,24.02,2,287
65,23.95,2,285
66,23.89,2,283
67,23.82,1,280
68,23.74,1,278
69,23.67,1,277
70,23.61,1,275
71,23.55,1,274
72,23.50,1,273
73,23.46,1,271
74,23.41,1,270
75,23.37,1,250
76,23.24,1,233
77,22.90,1,233
78,22.55,1,233
79,22.31,1,231
80,22.16,1,230
81,22.06,1,229
82,21.98,1,227
83,21.92,1,226
84,21.88,1,226
85,21.85,1,224
86,21.80,1,223
87,21.77,1,223
88,21.74,1,222
89,21.71,1,221
90,21.68,1,220
91,21.65,1,219
92,21.62,1,218
93,21.58,1,217
94,21.54,0,216
95,21.52,0,215
96,21.49,0,214
97,21.45,1,213
98,21.42,1,211
99,21.37,0,210
100,21.33,0,197
101,21.28,0,190
102,21.15,0,190
103,20.94,0,190
104,20.79,0,189
105,20.69,0,187
106,20.61,0,187
107,20.56,0,186
108,20.53,0,185
109,20.49,0,184
110,20.46,0,184
111,20.45,0,184
112,20.43,0,183
113,20.41,0,182
114,20.39,0,181
115,20.36,0,181
116,20.34,0,180
117,20.32,0,181
118,20.31,0,180
119,20.30,0,179
120,20.28,0,179
121,20.26,0,178
122,20.25,0,178
123,20.23,0,178
124,20.22,0,177
125,20.20,0,168
126,20.22,0,161
127,20.14,0,162
128,19.96,0,162
129,19.82,0,161
130,19.73,0,161
131,19.69,0,160
132,19.64,0,159
133,19.61,0,159
134,19.59,0,158
135,19.56,0,157
136,19.54,0,157
137,19.52,0,157
138,19.50,0,156
139,19.49,0,156
140,19.48,0,156
141,19.47,0,156
142,19.47,0,155
143,19.45,0,155
144,19.44,0,156
145,19.44,0,156
146,19.44,0,155
147,19.43,0,154
148,19.40,0,153
149,19.38,0,153
150,19.36,0,146
151,19.42,0,143
152,19.42,0,144
153,19.28,0,143
154,19.16,0,143
155,19.09,0,142
156,19.03,0,142
157,19.00,0,141
158,18.98,0,142
159,18.97,0,141
160,18.96,0,141
161,18.95,0,141
162,18.94,0,140
163,18.92,0,140
164,18.91,0,140
165,18.90,0,139
166,18.88,0,138
167,18.87,0,138
168,18.85,0,137
169,18.83,0,136
170,18.80,0,135
171,18.77,0,135
172,18.76,0,135
173,18.76,0,136
174,18.76,0,136
175,18.76,0,130
176,18.84,0,125
177,18.81,0,127
178,18.69,0,128
179,18.61,0,128
180,18.57,0,129
181,18.55,0,129
182,18.54,0,129
183,18.53,0,128
184,18.51,0,128
185,18.49,0,127
186,18.48,0,127
187,18.47,0,126
188,18.45,0,126
189,18.44,0,126
190,18.43,0,126
191,18.42,0,125
192,18.41,0,125
193,18.40,0,125
194,18.39,0,125
195,18.38,0,124
196,18.37,0,124
197,18.37,0,124
198,18.36,0,124
199,18.35,0,123
200,18.33,0,118
201,18.42,0,114
202,18.41,0,115
203,18.29,0,115
204,18.18,0,114
205,18.11,0,114
206,18.05,0,113
207,18.01,0,113
208,17.99,0,113
209,17.98,0,112
210,17.96,0,112
211,17.94,0,111
212,17.93,0,111
213,17.92,0,111
214,17.92,0,111
215,17.90,0,110
216,17.89,0,110
217,17.89,0,111
218,17.89,0,111
219,17.89,0,111
220,17.89,0,111
221,17.90,0,110
222,17.89,0,110
223,17.89,0,110
224,17.88,0,110
225,17.88,0,104
226,17.95,0,102
227,17.98,0,103
228,17.86,0,104
229,17.77,0,104
230,17.73,0,104
231,17.70,0,104
232,17.68,0,104
233,17.67,0,104
234,17.66,0,104
235,17.66,0,104
236,17.67,0,105
237,17.67,0,105
238,17.68,0,104
239,17.67,0,104
240,17.66,0,104
241,17.65,0,104
242,17.65,0,103
243,17.64,0,103
244,17.63,0,103
245,17.63,0,102
246,17.61,0,102
247,17.60,0,101
248,17.58,0,101
249,17.56,0,101
250,17.56,0,99
251,17.69,0,97
252,17.76,0,97
253,17.65,0,98
254,17.55,0,97
255,17.49,0,97
256,17.46,0,97
257,17.45,0,97
258,17.44,0,97
259,17.42,0,97
260,17.41,0,96
261,17.40,0,96
262,17.40,0,96
263,17.40,0,96
264,17.40,0,97
265,17.40,0,96
266,17.40,0,96
267,17.39,0,96
268,17.39,0,96
269,17.38,0,95
270,17.37,0,95
271,17.36,0,95
272,17.35,0,95
273,17.36,0,95
274,17.36,0,95
275,17.35,0,91
276,17.44,0,88
277,17.48,0,89
278,17.37,0,90
279,17.29,0,90
280,17.23,0,90
281,17.20,0,89
282,17.17,0,89
283,17.15,0,88
284,17.14,0,88
285,17.12,0,88
286,17.11,0,87
287,17.09,0,87
288,17.08,0,87
289,17.07,0,86
290,17.05,0,85
291,17.03,0,85
292,17.02,0,85
293,17.01,0,85
294,17.00,0,84
295,16.99,0,84
296,16.98,0,84
297,16.97,0,84
298,16.97,0,84
299,16.97,0,84
300,16.97,0,81
301,17.08,0,77
302,17.11,0,78
303,16.98,0,77
304,16.87,0,77
305,16.80,0,77
306,16.76,0,77
307,16.74,0,77
308,16.73,0,77
309,16.72,0,77
310,16.72,0,77
311,16.73,0,77
312,16.72,0,76
313,16.71,0,76
314,16.70,0,76
315,16.70,0,76
316,16.70,0,76
317,16.70,0,76
318,16.69,0,76
319,16.69,0,76
320,16.69,0,76
321,16.69,0,76
322,16.69,0,76
323,16.68,0,75
324,16.67,0,75
325,16.67,0,73
326,16.79,0,71
327,16.85,0,72
328,16.76,0,73
329,16.69,0,73
330,16.64,0,73
331,16.61,0,72
332,16.59,0,72
333,16.58,0,72
334,16.57,0,72
335,16.55,0,72
336,16.55,0,72
337,16.56,0,73
338,16.57,0,72
339,16.56,0,72
340,16.56,0,72
341,16.56,0,72
342,16.55,0,72
343,16.54,0,71
344,16.53,0,70
345,16.51,0,70
346,16.50,0,70
347,16.49,0,70
348,16.48,0,70
349,16.47,0,69
350,16.47,0,67
351,16.59,0,65
352,16.66,0,65
353,16.54,0,65
354,16.44,0,65
355,16.37,0,65
356,16.34,0,65
357,16.32,0,65
358,16.31,0,65
359,16.30,0,65
360,16.30,0,65
361,16.30,0,64
362,16.29,0,64
363,16.29,0,64
364,16.29,0,64
365,16.28,0,65
366,16.29,0,65
367,16.30,0,65
368,16.30,0,65
369,16.31,0,65
370,16.31,0,65
371,16.30,0,65
372,16.30,0,65
373,16.30,0,65
374,16.29,0,64
375,16.29,0,63
376,16.41,0,60
377,16.46,0,60
378,16.36,0,60
379,16.26,0,61
380,16.21,0,60
381,16.18,0,60
382,16.16,0,61
383,16.16,0,60
384,16.15,0,60
385,16.14,0,59
386,16.13,0,59
387,16.12,0,59
388,16.11,0,59
389,16.10,0,58
390,16.09,0,58
391,16.08,0,58
392,16.06,0,57
393,16.05,0,57
394,16.04,0,57
395,16.04,0,58
396,16.04,0,57
397,16.04,0,57
398,16.04,0,57
399,16.03,0,57
400,16.03,0,56
401,16.16,0,53
402,16.23,0,53
403,16.12,0,54
404,16.03,0,53
405,15.97,0,53
406,15.93,0,52
407,15.90,0,52
408,15.88,0,52
409,15.87,0,52
410,15.85,0,51
411,15.84,0,51
412,15.83,0,51
413,15.83,0,51
414,15.83,0,51
415,15.83,0,51
416,15.83,0,51
417,15.82,0,51
418,15.82,0,51
