Tick,AverageTemperature,WhiteDaisyCount,BlackDaisyCount
0,8.89,168,168
1,13.33,161,489
2,18.87,154,669
3,23.61,149,688
4,26.38,141,697
5,28.12,135,703
6,29.27,129,709
7,30.14,124,714
8,30.81,117,720
9,31.46,112,726
10,32.04,107,731
11,32.57,101,736
12,33.10,95,742
13,33.65,89,747
14,34.17,84,752
15,34.69,79,756
16,35.18,72,762
17,35.71,67,766
18,36.24,61,771
19,36.77,55,775
20,37.29,49,780
21,37.83,43,786
22,38.38,37,790
23,38.90,32,793
24,39.39,26,797
25,39.91,26,592
26,38.19,44,404
27,34.85,70,471
28,32.86,84,587
29,32.45,89,667
30,32.84,89,706
31,33.40,88,719
32,33.82,88,724
33,34.10,88,723
34,34.24,87,723
35,34.32,86,722
36,34.39,86,720
37,34.43,85,719
38,34.47,84,718
39,34.53,83,717
40,34.58,82,716
41,34.61,82,716
42,34.64,82,715
43,34.65,81,715
44,34.66,81,714
45,34.70,80,714
46,34.72,80,714
47,34.75,80,714
48,34.78,79,716
49,34.81,79,717
50,34.84,66,700
51,35.19,41,676
52,36.10,25,643
53,36.80,21,624
54,37.13,22,630
55,37.33,23,658
56,37.64,24,688
57,38.05,25,718
58,38.52,24,741
59,38.99,24,751
60,39.32,24,755
61,39.52,25,756
62,39.62,25,756
63,39.66,25,754
64,39.67,25,752
65,39.66,25,750
66,39.63,24,748
67,39.61,24,747
68,39.60,24,745
69,39.59,24,742
70,39.56,24,741
71,39.53,24,740
72,39.52,23,739
73,39.51,23,737
74,39.49,23,738
75,39.50,22,703
76,39.19,22,640
77,38.47,22,587
78,37.60,23,568
79,36.92,26,578
80,36.56,28,596
81,36.49,29,624
82,36.66,30,651
83,36.98,31,676
84,37.34,32,699
85,37.73,32,718
86,38.10,31,734
87,38.47,31,743
88,38.73,31,750
89,38.93,31,754
90,39.09,31,756
91,39.18,31,756
92,39.22,31,755
93,39.25,31,755
94,39.26,30,755
95,39.26,31,752
96,39.23,31,751
97,39.19,31,750
98,39.17,30,748
99,39.15,30,746
100,39.12,29,735
101,39.04,27,716
102,38.92,23,694
103,38.78,20,665
104,38.55,18,641
105,38.28,17,616
106,37.95,16,600
107,37.66,17,600
108,37.49,17,610
109,37.49,18,628
110,37.63,18,653
111,37.92,18,680
112,38.32,18,703
113,38.75,19,720
114,39.11,19,733
115,39.42,19,743
116,39.67,19,750
117,39.87,18,757
118,40.04,18,761
119,40.16,18,763
120,40.25,18,764
121,40.31,18,764
122,40.35,18,763
123,40.36,18,762
124,40.35,18,762
125,40.34,18,753
126,40.26,17,740
127,40.14,16,723
128,39.94,15,702
129,39.68,14,684
130,39.41,13,670
131,39.16,12,657
132,38.96,12,646
133,38.78,12,635
134,38.58,12,626
135,38.39,12,620
136,38.22,13,624
137,38.14,13,637
138,38.22,13,655
139,38.44,13,675
140,38.74,14,696
141,39.06,14,712
142,39.37,14,724
143,39.63,14,734
144,39.86,14,741
145,40.04,14,748
146,40.21,14,753
147,40.34,14,758
148,40.46,14,761
149,40.55,14,764
150,40.62,13,761
151,40.64,13,754
152,40.60,12,746
153,40.53,12,737
154,40.42,12,726
155,40.27,12,713
156,40.08,12,699
157,39.83,12,684
158,39.55,12,671
159,39.30,12,659
160,39.05,13,650
161,38.83,12,639
162,38.62,13,633
163,38.44,13,628
164,38.31,13,629
165,38.25,13,637
166,38.29,13,653
167,38.47,13,670
168,38.72,13,689
169,39.02,13,709
170,39.36,13,725
171,39.67,13,734
172,39.92,13,740
173,40.09,13,748
174,40.26,13,755
175,40.41,13,756
176,40.51,13,757
177,40.56,13,755
178,40.58,12,754
179,40.60,11,747
180,40.57,11,740
181,40.50,10,733
182,40.44,9,728
183,40.38,9,722
184,40.32,9,715
185,40.22,9,704
186,40.08,9,690
187,39.87,9,677
188,39.65,8,668
189,39.46,8,657
190,39.26,9,644
191,39.02,9,636
192,38.83,9,636
193,38.73,9,637
194,38.68,9,646
195,38.75,9,665
196,38.96,9,683
197,39.23,9,701
198,39.54,9,718
199,39.85,9,729
200,40.11,9,737
201,40.31,9,738
202,40.45,9,743
203,40.55,9,744
204,40.62,9,746
205,40.68,9,749
206,40.73,9,745
207,40.72,9,743
208,40.70,9,737
209,40.63,8,736
210,40.59,8,732
211,40.54,8,726
212,40.46,8,719
213,40.36,8,714
214,40.26,7,707
215,40.17,7,696
216,40.02,7,681
217,39.80,7,667
218,39.56,7,655
219,39.33,7,646
220,39.13,7,637
221,38.94,7,632
222,38.81,7,635
223,38.77,7,646
224,38.86,7,664
225,39.08,7,685
226,39.38,7,698
227,39.66,7,712
228,39.94,7,722
229,40.18,6,729
230,40.37,6,735
231,40.54,6,739
232,40.67,6,741
233,40.77,5,744
234,40.85,5,745
235,40.90,5,747
236,40.95,5,745
237,40.96,5,742
238,40.94,5,736
239,40.87,5,732
240,40.80,5,729
241,40.73,5,725
242,40.68,5,715
243,40.56,5,703
244,40.38,4,693
245,40.21,4,684
246,40.03,5,671
247,39.82,5,661
248,39.62,5,648
249,39.39,5,637
250,39.17,5,632
251,39.01,5,635
252,38.96,5,648
253,39.07,5,662
254,39.25,5,678
255,39.50,5,694
256,39.77,4,705
257,40.02,4,714
258,40.24,4,722
259,40.45,3,727
260,40.61,3,734
261,40.77,3,739
262,40.90,3,744
263,41.00,3,747
264,41.10,3,750
265,41.18,2,746
266,41.19,3,745
267,41.18,3,741
268,41.13,3,737
269,41.07,3,730
270,40.97,3,724
271,40.87,2,714
272,40.73,2,707
273,40.59,3,699
274,40.43,3,691
275,40.28,3,678
276,40.09,3,663
277,39.85,3,643
278,39.54,3,632
279,39.27,2,626
280,39.08,2,629
281,39.03,2,641
282,39.13,2,657
283,39.33,2,672
284,39.58,2,686
285,39.84,2,695
286,40.06,1,711
287,40.33,1,724
288,40.59,1,731
289,40.78,1,736
290,40.94,1,742
291,41.06,1,746
292,41.17,1,749
293,41.25,1,748
294,41.27,1,747
295,41.28,1,743
296,41.24,1,741
297,41.21,1,739
298,41.19,1,732
299,41.12,1,725
300,41.02,1,711
301,40.84,1,702
302,40.67,1,694
303,40.49,1,683
304,40.31,1,674
305,40.13,1,661
306,39.91,1,645
307,39.65,1,638
308,39.44,1,635
309,39.31,1,638
310,39.28,1,644
311,39.32,1,652
312,39.41,1,664
313,39.57,1,678
314,39.79,1,693
315,40.04,1,706
316,40.29,1,718
317,40.53,1,730
318,40.77,1,740
319,40.99,1,747
320,41.16,1,751
321,41.28,1,750
322,41.34,1,747
323,41.33,1,743
324,41.29,1,743
325,41.27,1,742
326,41.26,1,739
327,41.22,1,734
328,41.16,1,724
329,41.03,1,712
330,40.85,1,700
331,40.65,1,685
332,40.40,1,675
333,40.19,1,667
334,40.01,1,657
335,39.82,1,649
336,39.66,1,645
337,39.53,1,642
338,39.44,1,643
339,39.40,1,648
340,39.42,1,658
341,39.53,1,673
342,39.73,1,688
343,39.97,1,699
344,40.20,1,706
345,40.39,1,713
346,40.55,1,724
347,40.73,1,735
348,40.92,1,742
349,41.09,1,748
350,41.23,1,749
351,41.31,1,746
352,41.32,1,742
353,41.29,1,739
354,41.25,1,737
355,41.20,1,734
356,41.16,1,731
357,41.09,1,721
358,40.97,1,709
359,40.80,1,694
360,40.56,1,683
361,40.33,1,676
362,40.13,1,670
363,39.98,1,665
364,39.86,1,661
365,39.76,1,653
366,39.64,1,643
367,39.47,1,642
368,39.38,1,649
369,39.40,1,657
370,39.49,1,669
371,39.65,1,685
372,39.89,1,699
373,40.14,1,706
374,40.33,1,714
375,40.50,1,721
376,40.65,1,727
377,40.78,1,732
378,40.90,1,736
379,40.99,1,737
380,41.04,1,735
381,41.06,1,734
382,41.06,1,734
383,41.06,1,734
384,41.06,1,732
385,41.05,1,729
386,41.03,1,721
387,40.94,1,712
388,40.81,1,701
389,40.65,1,689
390,40.45,1,684
391,40.30,1,679
392,40.18,1,675
393,40.08,1,670
394,39.98,1,661
395,39.84,1,657
396,39.74,1,652
397,39.64,1,654
398,39.61,0,662
399,39.68,0,674
400,39.83,0,686
401,40.02,0,700
402,40.25,0,709
403,40.45,0,715
404,40.60,0,722
405,40.74,0,726
406,40.86,0,730
407,40.95,0,731
408,41.00,0,731
409,41.03,0,728
410,41.02,0,730
411,41.03,0,733
412,41.06,0,730
413,41.05,0,729
