Tick,AverageTemperature,WhiteDaisyCount,BlackDaisyCount
0,28.36,168,168
1,43.21,314,162
2,45.09,470,154
3,40.10,582,147
4,33.35,648,140
5,27.45,681,134
6,23.18,701,127
7,20.25,713,121
8,18.26,722,115
9,16.90,730,107
10,15.83,736,102
11,14.99,742,96
12,14.31,749,89
13,13.66,755,83
14,13.03,761,77
15,12.43,767,71
16,11.86,773,64
17,11.27,779,58
18,10.70,786,52
19,10.12,792,46
20,9.54,796,40
21,9.03,802,34
22,8.48,808,28
23,7.94,815,21
24,7.35,821,14
25,6.77,764,8
26,8.54,698,11
27,11.94,744,14
28,11.93,786,15
29,10.35,804,15
30,8.92,810,15
31,7.97,812,15
32,7.43,812,15
33,7.13,813,15
34,6.94,812,15
35,6.89,815,15
36,6.77,815,14
37,6.70,815,14
38,6.65,815,13
39,6.61,815,13
40,6.61,816,13
41,6.56,815,12
42,6.55,817,12
43,6.49,817,12
44,6.47,818,11
45,6.38,817,11
46,6.37,818,10
47,6.34,818,10
48,6.32,817,10
49,6.34,819,10
50,6.29,778,10
51,7.80,700,7
52,11.46,722,6
53,12.46,784,6
54,10.61,812,5
55,8.62,819,5
56,7.36,822,5
57,6.65,823,5
58,6.25,823,5
59,6.06,821,5
60,6.03,822,5
61,5.97,823,5
62,5.91,823,5
63,5.88,822,5
64,5.88,822,5
65,5.90,823,5
66,5.87,823,5
67,5.85,822,5
68,5.88,822,5
69,5.88,823,5
70,5.84,822,5
71,5.86,822,5
72,5.87,823,5
73,5.84,822,5
74,5.87,823,4
75,5.85,796,4
76,6.84,715,3
77,10.37,697,3
78,12.80,768,3
79,11.36,810,3
80,9.06,821,3
81,7.49,825,3
82,6.56,825,3
83,6.09,825,3
84,5.85,824,3
85,5.79,823,3
86,5.78,825,3
87,5.71,824,3
88,5.73,826,3
89,5.66,824,3
90,5.68,823,3
91,5.72,825,2
92,5.67,825,2
93,5.65,824,2
94,5.68,825,2
95,5.66,825,2
96,5.63,825,2
97,5.63,825,2
98,5.64,825,2
99,5.63,826,2
100,5.59,806,2
101,6.31,735,2
102,9.33,686,1
103,12.69,745,1
104,12.16,803,1
105,9.72,822,1
106,7.79,828,1
107,6.59,828,1
108,5.97,827,1
109,5.73,827,1
110,5.60,825,1
111,5.62,826,1
112,5.56,825,1
113,5.59,827,1
114,5.52,827,1
115,5.48,824,1
116,5.58,826,1
117,5.56,826,1
118,5.53,826,1
119,5.53,826,1
120,5.52,826,1
121,5.52,825,1
122,5.54,825,1
123,5.56,826,1
124,5.53,828,1
125,5.47,815,1
126,5.92,758,1
127,8.27,683,1
128,12.26,716,1
129,13.00,791,1
130,10.57,819,1
131,8.29,827,1
132,6.89,829,0
133,6.09,828,0
134,5.72,828,0
135,5.55,826,0
136,5.54,827,0
137,5.51,824,0
138,5.59,826,0
139,5.54,827,0
140,5.49,826,0
141,5.50,825,0
142,5.53,826,0
143,5.51,826,0
144,5.52,827,0
145,5.49,826,0
146,5.49,828,0
147,5.43,825,0
148,5.50,826,0
149,5.50,828,0
150,5.44,821,0
151,5.66,780,0
152,7.31,692,0
153,11.43,684,0
154,13.78,770,0
155,11.74,815,0
156,9.04,826,0
157,7.29,830,0
158,6.25,829,0
159,5.76,828,0
160,5.55,827,0
161,5.51,827,0
162,5.49,825,0
163,5.52,826,0
164,5.51,827,0
165,5.48,826,0
166,5.49,827,0
167,5.48,827,0
168,5.47,826,0
169,5.49,827,0
170,5.48,826,0
171,5.48,827,0
172,5.45,827,0
173,5.46,825,0
174,5.52,828,0
175,5.43,824,0
176,5.55,799,0
177,6.56,716,0
178,10.17,665,0
179,13.86,755,0
180,12.35,810,0
181,9.54,825,0
182,7.55,830,0
183,6.40,830,0
184,5.82,829,0
185,5.55,828,0
186,5.45,827,0
187,5.43,826,0
188,5.46,827,0
189,5.45,826,0
190,5.48,826,0
191,5.49,826,0
192,5.50,827,0
193,5.48,826,0
194,5.50,826,0
195,5.49,826,0
196,5.48,828,0
197,5.41,828,0
198,5.40,824,0
199,5.52,828,0
200,5.45,825,0
201,5.50,809,0
202,6.15,742,0
203,8.97,654,0
204,13.68,723,0
205,13.44,797,0
206,10.57,822,0
207,8.19,830,0
208,6.69,831,0
