Tick,AverageTemperature,WhiteDaisyCount,BlackDaisyCount
0,28.36,168,168
1,43.21,314,162
2,45.09,470,156
3,40.11,582,149
4,33.37,646,142
5,27.54,681,135
6,23.26,699,128
7,20.35,711,122
8,18.39,720,116
9,17.03,727,109
10,16.01,734,104
11,15.19,740,98
12,14.50,746,92
13,13.88,752,86
14,13.31,758,80
15,12.73,764,73
16,12.13,770,68
17,11.58,776,61
18,11.01,783,55
19,10.40,789,48
20,9.78,795,42
21,9.20,801,35
22,8.63,807,29
23,8.06,814,22
24,7.46,820,15
25,6.85,762,8
26,8.66,702,12
27,11.85,745,14
28,11.86,784,15
29,10.40,803,16
30,8.95,809,16
31,8.01,812,16
32,7.43,812,16
33,7.15,813,16
34,6.97,813,15
35,6.89,814,15
36,6.81,815,14
37,6.70,816,14
38,6.62,816,13
39,6.58,816,13
40,6.55,815,13
41,6.55,817,12
42,6.49,816,12
43,6.47,818,12
44,6.42,817,12
45,6.42,817,11
46,6.41,817,11
47,6.39,817,11
48,6.41,818,11
49,6.36,817,11
50,6.38,771,10
51,8.12,702,7
52,11.53,727,5
53,12.28,789,4
54,10.34,811,4
55,8.52,821,4
56,7.25,823,4
57,6.54,823,4
58,6.16,824,4
59,5.95,822,4
60,5.90,822,4
61,5.89,824,4
62,5.81,824,4
63,5.78,824,4
64,5.77,824,4
65,5.76,823,4
66,5.79,824,4
67,5.75,823,4
68,5.77,825,4
69,5.72,824,3
70,5.73,824,3
71,5.74,824,3
72,5.72,823,3
73,5.77,825,3
74,5.71,825,3
75,5.69,792,3
76,6.91,709,2
77,10.60,698,2
78,12.86,775,2
79,11.11,812,2
80,8.85,823,2
81,7.33,826,2
82,6.45,827,2
83,5.97,826,2
84,5.75,826,2
85,5.66,825,2
86,5.64,825,2
87,5.64,826,1
88,5.58,826,1
89,5.57,825,1
90,5.57,825,1
91,5.59,826,1
92,5.56,826,1
93,5.54,826,1
94,5.52,826,1
95,5.51,826,1
96,5.52,826,1
97,5.51,825,1
98,5.56,826,1
99,5.55,828,1
100,5.46,806,1
101,6.24,731,1
102,9.45,679,0
103,13.00,751,0
104,12.05,806,0
105,9.53,824,0
106,7.60,827,0
107,6.51,827,0
108,5.96,828,0
109,5.67,827,0
110,5.54,826,0
111,5.54,827,0
112,5.51,827,0
113,5.48,827,0
114,5.44,826,0
115,5.49,826,0
116,5.49,826,0
117,5.49,827,0
118,5.46,827,0
119,5.45,827,0
120,5.44,827,0
121,5.45,827,0
122,5.45,825,0
123,5.50,826,0
124,5.50,828,0
125,5.44,814,0
126,5.91,758,0
127,8.27,672,0
128,12.68,722,0
129,12.99,798,0
130,10.30,822,0
131,8.04,828,0
132,6.71,830,0
133,5.97,829,0
134,5.63,829,0
135,5.45,826,0
136,5.47,826,0
137,5.47,826,0
138,5.49,828,0
139,5.42,827,0
140,5.43,826,0
141,5.45,826,0
142,5.47,828,0
143,5.43,827,0
144,5.42,827,0
145,5.41,828,0
146,5.39,827,0
147,5.40,827,0
148,5.43,827,0
149,5.43,828,0
150,5.41,820,0
151,5.67,780,0
152,7.30,682,0
153,11.80,691,0
154,13.71,782,0
155,11.27,819,0
156,8.64,827,0
157,7.04,830,0
158,6.12,829,0
159,5.70,830,0
160,5.46,828,0
161,5.42,828,0
162,5.38,826,0
163,5.44,828,0
164,5.39,828,0
165,5.38,826,0
166,5.43,826,0
167,5.47,827,0
168,5.46,827,0
169,5.45,828,0
170,5.39,830,0
171,5.31,828,0
172,5.34,826,0
173,5.42,826,0
174,5.46,828,0
175,5.40,823,0
176,5.58,796,0
177,6.68,702,0
178,10.73,666,0
179,14.12,757,0
180,12.41,812,0
181,9.50,828,0
182,7.43,829,0
183,6.34,830,0
184,5.76,830,0
185,5.47,828,0
186,5.40,829,0
187,5.35,826,0
188,5.43,828,0
189,5.39,827,0
190,5.39,827,0
191,5.40,826,0
192,5.46,826,0
193,5.47,826,0
194,5.49,827,0
195,5.45,829,0
196,5.35,828,0
197,5.33,827,0
198,5.37,827,0
199,5.41,827,0
200,5.40,826,0
201,5.44,807,0
202,6.17,734,0
203,9.29,653,0
204,13.88,729,0
205,13.31,804,0
206,10.24,825,0
207,7.92,830,0
208,6.57,831,0
