Tick,AverageTemperature,WhiteCount,BlackCount,TotalCount,SolarLuminosity
1,13.3289,159,406,565,0.8000
2,18.1611,154,626,780,0.8000
3,22.8659,145,688,833,0.8000
4,26.1478,144,696,840,0.8000
5,27.9027,131,709,840,0.8000
6,29.3915,127,713,840,0.8000
7,30.3240,121,716,837,0.8000
8,31.0437,111,729,840,0.8000
9,31.9026,108,731,839,0.8000
10,32.4635,106,731,837,0.8000
11,32.8189,102,739,841,0.8000
12,33.2229,99,739,838,0.8000
13,33.5374,91,745,836,0.8000
14,34.0517,87,746,833,0.8000
15,34.4683,84,754,838,0.8000
16,34.8655,77,756,833,0.8000
17,35.3455,70,766,836,0.8000
18,35.9433,67,769,836,0.8000
19,36.3834,64,773,837,0.8000
20,36.7540,57,777,834,0.8000
21,37.2398,50,782,832,0.8000
22,37.7929,47,784,831,0.8000
23,38.2009,42,786,828,0.8000
24,38.6114,32,796,828,0.8000
25,39.2869,22,685,707,0.8000
26,38.9392,32,495,527,0.8000
27,36.5757,55,499,554,0.8000
28,34.5702,72,555,627,0.8000
29,33.4653,78,610,688,0.8000
30,33.2133,81,671,752,0.8000
31,33.5576,81,701,782,0.8000
32,34.0163,80,717,797,0.8000
33,34.4360,79,720,799,0.8000
34,34.7119,77,729,806,0.8000
35,35.0108,75,732,807,0.8000
36,35.2639,75,735,810,0.8000
37,35.4190,73,732,805,0.8000
38,35.5429,72,731,803,0.8000
39,35.6328,73,723,796,0.8000
40,35.5638,72,724,796,0.8000
41,35.5764,70,721,791,0.8000
42,35.6290,70,721,791,0.8000
43,35.6552,68,727,795,0.8000
44,35.8006,69,726,795,0.8000
45,35.8263,69,718,787,0.8000
46,35.7627,68,719,787,0.8000
47,35.7780,66,728,794,0.8000
48,35.9465,66,726,792,0.8000
49,36.0117,66,722,788,0.8000
50,36.0061,63,682,745,0.8000
51,35.7336,48,656,704,0.8000
52,35.9111,33,649,682,0.8000
53,36.4952,28,651,679,0.8000
54,36.9937,28,634,662,0.8000
55,37.0806,27,662,689,0.8000
56,37.4289,32,692,724,0.8000
57,37.7023,33,699,732,0.8000
58,37.8684,35,713,748,0.8000
59,38.0102,35,719,754,0.8000
60,38.1384,35,731,766,0.8000
61,38.3171,35,738,773,0.8000
62,38.4733,35,743,778,0.8000
63,38.5992,36,735,771,0.8000
64,38.5483,38,737,775,0.8000
65,38.4669,38,737,775,0.8000
66,38.4263,38,740,778,0.8000
67,38.4346,38,731,769,0.8000
68,38.3528,38,725,763,0.8000
69,38.2546,37,730,767,0.8000
70,38.2907,37,726,763,0.8000
71,38.2706,37,725,762,0.8000
72,38.2509,37,723,760,0.8000
73,38.2220,37,729,766,0.8000
74,38.2649,38,722,760,0.8000
75,38.1820,33,684,717,0.8000
76,37.9649,28,643,671,0.8000
77,37.6521,27,597,624,0.8000
78,37.0938,24,593,617,0.8000
79,36.8889,24,605,629,0.8000
80,36.9011,20,613,633,0.8000
81,37.1335,21,644,665,0.8000
82,37.5083,18,677,695,0.8000
83,38.1234,18,710,728,0.8000
84,38.7461,18,720,738,0.8000
85,39.1530,18,719,737,0.8000
86,39.3469,18,728,746,0.8000
87,39.5298,17,746,763,0.8000
