Tick,AverageTemperature,WhiteDaisyCount,BlackDaisyCount,TotalDaisyCount,SolarLuminosity
0,8.89,168,168,336,0.8000
1,13.33,154,469,623,0.8000
2,18.95,148,660,808,0.8000
3,23.81,139,696,835,0.8000
4,26.92,132,708,840,0.8000
5,28.85,128,708,836,0.8000
6,29.97,120,719,839,0.8000
7,30.93,116,724,840,0.8000
8,31.61,110,729,839,0.8000
9,32.22,100,739,839,0.8000
10,33.00,94,746,840,0.8000
11,33.68,90,746,836,0.8000
12,34.17,90,749,839,0.8000
13,34.44,87,752,839,0.8000
14,34.72,78,759,837,0.8000
15,35.26,71,765,836,0.8000
16,35.86,64,773,837,0.8000
17,36.49,64,772,836,0.8000
18,36.80,55,779,834,0.8000
19,37.36,53,781,834,0.8000
20,37.73,46,789,835,0.8000
21,38.25,38,795,833,0.8000
22,38.87,34,787,821,0.8000
23,39.26,27,797,824,0.8000
24,39.81,26,797,823,0.8000
25,40.12,22,613,635,0.8000
26,38.67,34,430,464,0.8000
27,35.74,52,463,515,0.8000
28,33.92,67,597,664,0.8000
29,33.73,72,674,746,0.8000
30,34.18,71,711,782,0.8000
31,34.80,70,731,801,0.8000
32,35.34,70,737,807,0.8000
33,35.66,71,737,808,0.8000
34,35.79,70,732,802,0.8000
35,35.84,71,730,801,0.8000
36,35.81,69,728,797,0.8000
37,35.85,68,725,793,0.8000
38,35.88,68,725,793,0.8000
39,35.89,67,722,789,0.8000
40,35.91,68,713,781,0.8000
41,35.79,69,709,778,0.8000
42,35.66,69,718,787,0.8000
43,35.68,69,716,785,0.8000
44,35.67,68,718,786,0.8000
45,35.72,68,715,783,0.8000
46,35.72,68,713,781,0.8000
47,35.70,68,715,783,0.8000
48,35.71,66,713,779,0.8000
49,35.77,65,715,780,0.8000
50,35.85,58,685,743,0.8000
51,35.87,46,647,693,0.8000
52,35.97,30,581,611,0.8000
53,35.99,25,558,583,0.8000
54,35.96,26,593,619,0.8000
55,36.25,31,623,654,0.8000
56,36.49,36,673,709,0.8000
57,36.90,36,731,767,0.8000
58,37.66,35,765,800,0.8000
59,38.40,35,768,803,0.8000
60,38.80,34,775,809,0.8000
61,39.11,34,773,807,0.8000
62,39.24,32,774,806,0.8000
63,39.39,31,774,805,0.8000
64,39.50,33,774,807,0.8000
65,39.49,32,780,812,0.8000
66,39.57,31,771,802,0.8000
67,39.57,32,769,801,0.8000
68,39.51,32,767,799,0.8000
69,39.46,33,761,794,0.8000
70,39.34,32,756,788,0.8000
71,39.27,32,751,783,0.8000
72,39.19,31,750,781,0.8000
73,39.17,31,751,782,0.8000
74,39.17,31,752,783,0.8000
75,39.19,30,718,748,0.8000
76,38.90,27,677,704,0.8000
77,38.48,28,638,666,0.8000
78,37.86,32,587,619,0.8000
79,36.92,37,590,627,0.8000
80,36.28,37,596,633,0.8000
81,36.03,39,598,637,0.8000
82,35.84,41,602,643,0.8000
83,35.71,42,656,698,0.8000
84,36.12,42,716,758,0.8000
85,36.90,42,753,795,0.8000
86,37.65,42,761,803,0.8000
87,38.10,42,757,799,0.8000
88,38.28,41,759,800,0.8000
89,38.43,41,766,807,0.8000
90,38.57,40,762,802,0.8000
91,38.64,39,756,795,0.8000
92,38.66,40,758,798,0.8000
93,38.65,40,762,802,0.8000
94,38.68,40,761,801,0.8000
95,38.69,40,760,800,0.8000
96,38.68,40,760,800,0.8000
97,38.68,40,768,808,0.8000
98,38.75,40,761,801,0.8000
99,38.72,40,761,801,0.8000
100,38.71,39,748,787,0.8000
101,38.61,36,729,765,0.8000
102,38.50,31,714,745,0.8000
103,38.48,24,692,716,0.8000
104,38.53,18,655,673,0.8000
105,38.42,15,631,646,0.8000
106,38.25,13,629,642,0.8000
107,38.23,11,583,594,0.8000
108,37.85,13,550,563,0.8000
109,37.27,16,558,574,0.8000
110,36.94,16,584,600,0.8000
111,37.03,16,642,658,0.8000
112,37.62,16,715,731,0.8000
113,38.62,16,758,774,0.8000
114,39.53,16,782,798,0.8000
115,40.21,16,784,800,0.8000
116,40.57,15,782,797,0.8000
117,40.77,15,777,792,0.8000
118,40.82,14,780,794,0.8000
119,40.91,14,781,795,0.8000
120,40.97,15,778,793,0.8000
121,40.93,15,770,785,0.8000
122,40.84,15,770,785,0.8000
123,40.79,15,771,786,0.8000
124,40.77,15,770,785,0.8000
125,40.76,15,763,778,0.8000
126,40.68,16,746,762,0.8000
127,40.44,19,730,749,0.8000
128,40.06,18,724,742,0.8000
129,39.85,18,686,704,0.8000
130,39.38,18,660,678,0.8000
131,38.90,19,675,694,0.8000
132,38.76,19,669,688,0.8000
133,38.64,16,667,683,0.8000
134,38.67,14,680,694,0.8000
135,38.88,13,640,653,0.8000
136,38.64,13,597,610,0.8000
137,38.11,13,558,571,0.8000
138,37.48,13,560,573,0.8000
139,37.18,13,611,624,0.8000
140,37.51,13,674,687,0.8000
141,38.29,13,746,759,0.8000
142,39.36,13,771,784,0.8000
143,40.13,13,782,795,0.8000
144,40.63,13,782,795,0.8000
145,40.87,12,782,794,0.8000
146,41.03,12,779,791,0.8000
147,41.09,12,780,792,0.8000
148,41.12,12,774,786,0.8000
149,41.08,12,776,788,0.8000
150,41.08,12,774,786,0.8000
151,41.06,8,767,775,0.8000
152,41.13,7,750,757,0.8000
153,41.05,7,753,760,0.8000
154,41.03,4,742,746,0.8000
155,41.03,2,717,719,0.8000
156,40.87,2,707,709,0.8000
157,40.69,2,690,692,0.8000
158,40.44,3,662,665,0.8000
159,40.01,4,640,644,0.8000
160,39.54,4,633,637,0.8000
161,39.25,5,643,648,0.8000
