Tick,AverageTemperature,WhiteDaisyCount,BlackDaisyCount,TotalDaisyCount,SolarLuminosity
0,8.89,168,168,336,0.8000
1,13.33,163,472,635,0.8000
2,18.64,159,632,791,0.8000
3,22.98,159,675,834,0.8000
4,25.55,152,687,839,0.8000
5,27.22,144,696,840,0.8000
6,28.44,141,698,839,0.8000
7,29.18,134,706,840,0.8000
8,29.89,128,712,840,0.8000
9,30.53,121,717,838,0.8000
10,31.15,115,726,841,0.8000
11,31.78,112,729,841,0.8000
12,32.23,106,732,838,0.8000
13,32.71,105,733,838,0.8000
14,33.00,98,736,834,0.8000
15,33.43,97,739,836,0.8000
16,33.72,89,749,838,0.8000
17,34.26,80,757,837,0.8000
18,34.94,73,762,835,0.8000
19,35.59,65,768,833,0.8000
20,36.27,56,776,832,0.8000
21,37.03,51,780,831,0.8000
22,37.63,48,783,831,0.8000
23,38.07,42,784,826,0.8000
24,38.53,31,802,833,0.8000
25,39.34,34,611,645,0.8000
26,37.81,62,481,543,0.8000
27,34.75,96,509,605,0.8000
28,32.22,103,601,704,0.8000
29,31.57,107,665,772,0.8000
30,31.70,107,692,799,0.8000
31,32.03,106,705,811,0.8000
32,32.35,106,707,813,0.8000
33,32.53,103,710,813,0.8000
34,32.77,104,708,812,0.8000
35,32.83,104,706,810,0.8000
36,32.84,102,707,809,0.8000
37,32.93,101,710,811,0.8000
38,33.04,100,709,809,0.8000
39,33.12,97,715,812,0.8000
40,33.33,97,713,810,0.8000
41,33.42,97,711,808,0.8000
42,33.44,96,708,804,0.8000
43,33.46,95,704,799,0.8000
44,33.47,96,706,802,0.8000
45,33.46,96,709,805,0.8000
46,33.48,96,710,806,0.8000
47,33.50,95,711,806,0.8000
48,33.56,94,709,803,0.8000
49,33.61,93,703,796,0.8000
50,33.61,78,684,762,0.8000
51,33.99,39,668,707,0.8000
52,35.49,22,675,697,0.8000
53,36.95,20,671,691,0.8000
54,37.71,20,665,685,0.8000
55,38.03,21,681,702,0.8000
56,38.31,21,695,716,0.8000
57,38.58,21,710,731,0.8000
58,38.86,21,718,739,0.8000
59,39.08,20,740,760,0.8000
60,39.44,20,753,773,0.8000
61,39.74,21,753,774,0.8000
62,39.85,22,753,775,0.8000
63,39.87,23,751,774,0.8000
64,39.82,24,746,770,0.8000
65,39.72,24,747,771,0.8000
66,39.67,25,749,774,0.8000
67,39.63,25,756,781,0.8000
68,39.68,25,753,778,0.8000
69,39.67,24,746,770,0.8000
70,39.64,23,740,763,0.8000
71,39.60,23,738,761,0.8000
72,39.57,23,741,764,0.8000
73,39.58,23,741,764,0.8000
74,39.58,23,734,757,0.8000
75,39.52,21,693,714,0.8000
76,39.17,24,620,644,0.8000
77,38.18,24,577,601,0.8000
78,37.28,21,587,608,0.8000
79,37.04,21,610,631,0.8000
80,37.14,25,650,675,0.8000
