Tick,AverageTemperature,WhiteDaisyCount,BlackDaisyCount,TotalDaisyCount,SolarLuminosity
0,8.89,168,168,336,0.8000
1,13.33,159,519,678,0.8000
2,19.24,151,681,832,0.8000
3,24.04,139,702,841,0.8000
4,27.10,132,707,839,0.8000
5,28.93,125,715,840,0.8000
6,30.19,118,722,840,0.8000
7,31.15,113,725,838,0.8000
8,31.84,107,731,838,0.8000
9,32.47,102,734,836,0.8000
10,33.00,95,741,836,0.8000
11,33.60,92,748,840,0.8000
12,34.07,83,753,836,0.8000
13,34.70,79,755,834,0.8000
14,35.18,76,759,835,0.8000
15,35.57,72,759,831,0.8000
16,35.91,66,765,831,0.8000
17,36.37,60,768,828,0.8000
18,36.85,53,772,825,0.8000
19,37.39,49,775,824,0.8000
20,37.84,40,785,825,0.8000
21,38.50,38,787,825,0.8000
22,38.92,35,788,823,0.8000
23,39.25,30,794,824,0.8000
24,39.66,26,794,820,0.8000
25,40.02,32,536,568,0.8000
26,37.51,66,412,478,0.8000
27,33.79,95,486,581,0.8000
28,31.56,108,606,714,0.8000
29,31.10,114,651,765,0.8000
30,31.07,114,678,792,0.8000
31,31.32,116,688,804,0.8000
32,31.46,117,697,814,0.8000
33,31.58,116,696,812,0.8000
34,31.67,116,705,821,0.8000
35,31.80,115,707,822,0.8000
36,31.92,117,704,821,0.8000
37,31.88,117,700,817,0.8000
38,31.82,117,697,814,0.8000
39,31.76,116,699,815,0.8000
40,31.79,113,702,815,0.8000
41,31.94,112,707,819,0.8000
42,32.10,112,706,818,0.8000
43,32.18,113,702,815,0.8000
44,32.14,113,705,818,0.8000
45,32.14,111,703,814,0.8000
46,32.20,111,711,822,0.8000
47,32.31,109,713,822,0.8000
48,32.46,110,706,816,0.8000
49,32.43,109,710,819,0.8000
50,32.49,77,692,769,0.8000
51,33.55,47,678,725,0.8000
52,35.06,37,648,685,0.8000
53,35.91,35,676,711,0.8000
54,36.68,41,685,726,0.8000
55,36.92,43,693,736,0.8000
56,37.05,43,711,754,0.8000
57,37.28,42,719,761,0.8000
58,37.51,43,721,764,0.8000
59,37.61,43,736,779,0.8000
60,37.80,42,749,791,0.8000
61,38.06,39,753,792,0.8000
62,38.34,39,756,795,0.8000
63,38.51,39,756,795,0.8000
64,38.59,39,757,796,0.8000
65,38.64,40,750,790,0.8000
66,38.56,39,748,787,0.8000
67,38.54,39,746,785,0.8000
68,38.51,39,739,778,0.8000
69,38.43,38,741,779,0.8000
70,38.45,39,738,777,0.8000
71,38.39,39,738,777,0.8000
72,38.36,39,737,776,0.8000
73,38.33,39,743,782,0.8000
74,38.38,39,745,784,0.8000
75,38.42,37,688,725,0.8000
76,37.97,36,614,650,0.8000
77,37.08,37,559,596,0.8000
78,36.07,29,564,593,0.8000
79,35.91,30,626,656,0.8000
80,36.39,29,659,688,0.8000
81,36.98,32,691,723,0.8000
82,37.47,33,718,751,0.8000
83,37.93,35,725,760,0.8000
84,38.16,37,727,764,0.8000
85,38.21,37,740,777,0.8000
86,38.37,38,744,782,0.8000
87,38.44,38,746,784,0.8000
88,38.50,38,755,793,0.8000
89,38.61,39,755,794,0.8000
90,38.63,38,752,790,0.8000
91,38.65,38,759,797,0.8000
92,38.73,39,760,799,0.8000
93,38.74,38,753,791,0.8000
94,38.72,38,750,788,0.8000
95,38.67,37,747,784,0.8000
96,38.66,38,752,790,0.8000
97,38.67,39,753,792,0.8000
98,38.64,38,750,788,0.8000
99,38.64,38,751,789,0.8000
100,38.65,36,734,770,0.8000
101,38.56,32,715,747,0.8000
102,38.49,32,687,719,0.8000
103,38.18,31,619,650,0.8000
104,37.42,35,608,643,0.8000
105,36.78,33,600,633,0.8000
106,36.46,35,631,666,0.8000
107,36.52,33,647,680,0.8000
108,36.78,33,673,706,0.8000
109,37.16,31,696,727,0.8000
110,37.64,32,720,752,0.8000
111,38.08,32,727,759,0.8000
112,38.36,32,738,770,0.8000
113,38.61,34,739,773,0.8000
114,38.67,32,746,778,0.8000
115,38.84,32,751,783,0.8000
116,38.97,32,755,787,0.8000
117,39.07,31,763,794,0.8000
118,39.24,32,766,798,0.8000
119,39.32,32,765,797,0.8000
120,39.34,33,759,792,0.8000
121,39.26,33,752,785,0.8000
122,39.15,32,757,789,0.8000
123,39.19,33,757,790,0.8000
124,39.16,33,755,788,0.8000
125,39.13,33,739,772,0.8000
126,38.97,33,723,756,0.8000
127,38.73,35,713,748,0.8000
128,38.44,32,702,734,0.8000
129,38.30,33,691,724,0.8000
130,38.09,32,670,702,0.8000
131,37.82,33,665,698,0.8000
132,37.60,36,674,710,0.8000
133,37.47,37,657,694,0.8000
134,37.20,38,647,685,0.8000
135,36.93,38,660,698,0.8000
136,36.92,40,669,709,0.8000
137,36.93,38,704,742,0.8000
138,37.34,40,729,769,0.8000
139,37.71,40,732,772,0.8000
140,37.93,40,733,773,0.8000
141,38.04,40,753,793,0.8000
142,38.29,40,761,801,0.8000
143,38.49,39,763,802,0.8000
144,38.65,39,763,802,0.8000
145,38.73,38,768,806,0.8000
146,38.85,37,768,805,0.8000
147,38.95,38,769,807,0.8000
148,38.98,37,770,807,0.8000
149,39.03,38,770,808,0.8000
150,39.02,39,762,801,0.8000
151,38.91,34,752,786,0.8000
152,38.94,31,734,765,0.8000
153,38.90,31,722,753,0.8000
154,38.76,30,699,729,0.8000
155,38.51,30,665,695,0.8000
156,38.06,26,660,686,0.8000
157,37.94,27,672,699,0.8000
