Tick,AverageTemperature,WhiteDaisyCount,BlackDaisyCount
0,-1.13,168,168
1,-2.03,161,212
2,-1.80,154,270
3,-0.90,148,345
4,0.53,141,419
5,2.18,135,487
6,3.90,128,546
7,5.58,121,595
8,7.14,114,634
9,8.58,107,666
10,9.86,100,691
11,11.00,93,710
12,11.99,86,728
13,12.92,80,743
14,13.77,74,755
15,14.55,68,765
16,15.25,60,774
17,15.96,54,782
18,16.64,48,789
19,17.26,41,796
20,17.89,34,804
21,18.54,28,811
22,19.18,21,818
23,19.82,14,825
24,20.48,7,833
25,21.14,0,840
26,21.82,0,840
27,22.15,0,839
28,22.32,0,839
29,22.40,0,839
30,22.44,0,839
31,22.46,0,840
32,22.48,0,840
33,22.49,0,840
34,22.49,0,840
35,22.49,0,840
36,22.49,0,840
37,22.50,0,840
38,22.50,0,840
39,22.50,0,840
40,22.50,0,840
41,22.50,0,840
42,22.51,0,840
43,22.51,0,840
44,22.51,0,840
45,22.51,0,840
46,22.51,0,840
47,22.51,0,840
48,22.51,0,840
49,22.51,0,841
50,22.51,0,840
51,22.50,0,840
52,22.50,0,839
53,22.49,0,839
54,22.49,0,839
55,22.48,0,840
56,22.49,0,840
57,22.49,0,840
58,22.49,0,840
59,22.49,0,840
60,22.49,0,840
61,22.50,0,840
62,22.50,0,840
63,22.50,0,840
64,22.50,0,840
65,22.50,0,840
66,22.50,0,841
67,22.51,0,840
68,22.51,0,840
69,22.51,0,840
70,22.51,0,840
71,22.51,0,840
72,22.51,0,840
73,22.51,0,840
74,22.51,0,840
75,22.51,0,840
76,22.50,0,840
77,22.50,0,839
78,22.48,0,840
79,22.49,0,839
80,22.48,0,840
81,22.49,0,840
82,22.49,0,840
83,22.49,0,840
84,22.49,0,840
85,22.49,0,840
86,22.50,0,840
87,22.50,0,840
88,22.50,0,840
89,22.50,0,840
90,22.50,0,840
91,22.50,0,840
92,22.51,0,840
93,22.51,0,841
94,22.51,0,840
95,22.51,0,840
96,22.51,0,840
97,22.51,0,840
98,22.51,0,840
