Tick,AverageTemperature,WhiteDaisyCount,BlackDaisyCount
0,28.36,168,168
1,43.21,313,162
2,45.13,467,154
3,40.23,579,148
4,33.53,646,141
5,27.61,681,135
6,23.28,701,128
7,20.29,712,122
8,18.32,721,115
9,16.96,729,109
10,15.92,734,103
11,15.14,742,96
12,14.40,748,89
13,13.72,755,83
14,13.07,761,76
15,12.45,768,69
16,11.81,774,63
17,11.21,780,58
18,10.65,786,51
19,10.05,792,45
20,9.48,799,38
21,8.87,804,31
22,8.31,810,25
23,7.73,818,18
24,7.10,823,12
25,6.53,762,7
26,8.48,695,10
27,11.99,748,12
28,11.77,789,13
29,10.15,804,13
30,8.78,812,13
31,7.80,815,13
32,7.20,815,12
33,6.88,816,12
34,6.70,816,12
35,6.60,819,12
36,6.45,817,11
37,6.41,816,11
38,6.44,816,11
39,6.44,818,10
40,6.38,818,10
41,6.35,819,10
42,6.29,819,9
43,6.24,820,9
44,6.20,819,9
45,6.21,819,9
46,6.22,819,9
47,6.22,819,9
48,6.21,819,9
49,6.20,820,9
50,6.16,778,8
51,7.69,695,6
52,11.57,722,5
53,12.47,785,4
54,10.57,813,4
55,8.57,821,4
56,7.29,823,4
57,6.56,823,4
58,6.18,824,4
59,5.96,822,4
60,5.94,823,4
61,5.86,824,4
62,5.79,823,4
63,5.79,823,4
64,5.79,823,4
65,5.81,824,4
66,5.78,823,4
67,5.80,824,4
68,5.78,825,3
69,5.72,825,3
70,5.70,823,3
71,5.74,823,3
72,5.75,824,3
73,5.73,825,3
74,5.70,827,3
75,5.61,797,3
76,6.67,714,2
77,10.31,693,1
78,12.91,770,2
79,11.33,809,2
80,9.05,823,1
81,7.40,826,1
82,6.47,827,1
83,5.97,827,1
84,5.73,825,1
85,5.66,825,1
86,5.65,826,1
87,5.61,825,1
88,5.59,825,2
89,5.60,825,1
90,5.61,825,1
91,5.62,825,1
92,5.60,825,1
93,5.62,825,1
94,5.61,826,1
95,5.58,826,1
96,5.55,825,1
97,5.60,825,1
98,5.60,826,1
99,5.55,828,1
100,5.47,809,1
101,6.13,738,1
102,9.11,677,1
103,12.89,745,1
104,12.25,803,1
105,9.73,823,1
106,7.74,827,1
107,6.59,827,1
108,6.01,828,1
109,5.69,828,1
110,5.53,826,1
111,5.54,826,0
112,5.53,827,0
113,5.50,825,0
114,5.55,826,0
115,5.53,826,0
116,5.54,827,0
117,5.48,826,0
118,5.50,827,0
119,5.47,827,0
120,5.46,825,1
121,5.51,825,0
122,5.54,826,0
123,5.51,826,0
124,5.51,828,0
125,5.42,816,0
126,5.84,764,0
127,8.00,672,0
128,12.52,717,0
129,13.11,792,0
130,10.58,821,0
131,8.23,828,0
132,6.78,829,0
133,6.04,828,0
134,5.69,828,0
135,5.51,828,0
136,5.46,827,0
137,5.43,826,0
138,5.47,827,0
139,5.47,826,0
140,5.51,826,0
141,5.49,827,0
142,5.47,826,0
143,5.50,827,0
144,5.48,828,0
145,5.42,827,0
146,5.42,826,0
147,5.45,827,0
148,5.45,826,0
149,5.47,828,0
150,5.41,821,0
