Tick,AverageTemperature,WhiteDaisyCount,BlackDaisyCount
0,75.80,168,168
1,113.70,171,172
2,132.56,174,171
3,141.87,174,166
4,146.49,171,160
5,148.82,168,154
6,150.08,162,148
7,150.85,157,143
8,151.39,152,137
9,151.79,147,131
10,152.12,141,126
11,152.47,134,120
12,152.82,129,113
13,153.11,123,106
14,153.45,116,100
15,153.80,111,94
16,154.10,106,88
17,154.40,100,81
18,154.73,94,75
19,155.03,88,69
20,155.35,81,63
21,155.71,75,56
22,156.07,69,49
23,156.40,63,44
24,156.72,58,38
25,157.01,50,26
26,157.34,46,22
27,157.64,44,27
28,157.91,46,33
29,158.04,47,34
30,158.06,48,35
31,158.06,48,36
32,158.04,48,36
33,158.02,49,36
34,158.01,49,35
35,157.99,49,35
36,157.99,49,35
37,157.99,49,35
38,157.98,49,35
39,157.96,49,35
40,157.95,49,35
41,157.94,49,35
42,157.94,49,35
43,157.93,49,35
44,157.92,50,34
45,157.91,50,34
46,157.90,50,34
47,157.88,50,34
48,157.88,50,34
49,157.86,50,34
50,157.84,50,32
51,157.83,50,28
52,157.77,52,25
53,157.66,52,25
54,157.59,53,25
55,157.53,53,26
56,157.51,53,27
57,157.51,53,28
58,157.53,53,29
59,157.55,52,30
60,157.58,52,30
61,157.58,52,30
62,157.60,52,30
63,157.61,52,30
64,157.62,52,30
65,157.63,52,30
66,157.63,52,30
67,157.64,52,30
68,157.64,52,30
69,157.64,52,30
70,157.65,52,30
71,157.65,52,30
72,157.66,51,30
73,157.67,51,31
74,157.68,51,31
75,157.69,49,30
76,157.77,46,28
77,157.91,45,27
78,157.99,46,29
79,158.03,48,29
80,157.96,49,30
81,157.91,50,31
82,157.85,50,32
83,157.83,50,32
84,157.82,50,33
85,157.81,51,33
86,157.80,50,33
87,157.80,51,33
88,157.79,51,33
89,157.78,51,33
90,157.76,51,33
91,157.77,51,33
92,157.76,51,33
93,157.76,51,32
94,157.77,51,32
95,157.77,51,33
96,157.77,51,33
97,157.76,51,33
98,157.76,51,33
99,157.75,51,33
100,157.75,51,32
101,157.75,50,31
102,157.76,50,29
103,157.76,49,28
104,157.80,49,28
105,157.80,49,28
106,157.80,50,28
107,157.77,51,28
108,157.74,51,29
109,157.72,51,30
110,157.72,51,31
111,157.73,51,31
112,157.74,51,31
113,157.75,51,32
114,157.76,51,32
115,157.77,51,32
116,157.76,51,32
117,157.76,51,33
118,157.76,51,32
119,157.76,51,32
120,157.76,51,32
121,157.77,51,33
122,157.77,51,32
123,157.77,51,33
124,157.78,50,33
125,157.79,50,32
126,157.82,49,32
127,157.85,48,31
128,157.88,49,30
129,157.86,50,29
130,157.83,49,29
131,157.82,49,29
132,157.82,49,29
133,157.82,50,30
134,157.81,50,29
135,157.81,50,29
136,157.80,50,29
137,157.79,50,30
138,157.79,50,30
139,157.79,50,30
140,157.79,50,32
141,157.81,50,32
142,157.82,50,32
143,157.82,50,33
144,157.83,50,33
145,157.85,50,34
146,157.85,50,33
147,157.84,50,33
148,157.83,50,33
149,157.82,51,32
150,157.80,50,32
151,157.81,49,31
152,157.85,48,30
153,157.90,49,29
154,157.88,49,29
155,157.84,51,28
156,157.76,51,27
157,157.70,51,26
158,157.66,52,26
159,157.63,51,28
160,157.63,51,30
161,157.65,51,30
162,157.66,52,30
163,157.65,51,29
164,157.66,51,29
165,157.65,52,28
166,157.64,52,28
167,157.62,52,28
168,157.62,52,28
169,157.61,52,28
170,157.62,51,30
171,157.65,51,31
172,157.69,51,32
173,157.70,51,32
174,157.71,51,32
175,157.72,51,32
176,157.75,50,32
177,157.80,48,32
178,157.89,47,33
179,157.96,48,33
180,157.98,48,33
181,157.98,48,32
182,157.97,48,32
183,157.99,48,31
184,157.99,48,30
185,157.95,48,29
186,157.92,48,29
187,157.90,48,29
188,157.89,49,30
189,157.88,48,31
190,157.91,48,32
191,157.93,48,32
192,157.94,48,33
193,157.95,48,33
194,157.95,48,32
195,157.94,48,31
196,157.92,49,31
197,157.90,49,31
198,157.90,49,32
199,157.91,49,33
200,157.93,49,34
201,157.94,48,33
202,158.00,49,32
203,158.04,49,31
204,158.10,49,31
205,158.16,50,30
206,158.20,51,29
207,158.21,52,28
208,158.24,51,28
209,158.30,52,27
210,158.37,52,27
211,158.43,52,26
212,158.50,52,25
213,158.57,52,24
214,158.62,53,23
215,158.67,53,22
216,158.71,54,21
217,158.76,54,20
218,158.82,54,20
219,158.88,54,19
220,158.94,54,18
221,159.00,54,17
222,159.07,55,16
223,159.12,55,15
224,159.16,56,14
225,159.20,56,14
226,159.26,56,13
227,159.31,57,13
228,159.33,58,12
229,159.35,60,12
230,159.32,63,12
231,159.24,65,12
232,159.17,66,12
233,159.14,67,11
234,159.13,68,11
235,159.15,69,11
236,159.17,70,11
237,159.17,71,10
238,159.17,72,10
239,159.19,72,10
240,159.22,73,10
241,159.26,73,10
242,159.32,73,10
243,159.39,73,10
244,159.45,73,10
245,159.52,73,10
246,159.59,74,10
247,159.66,74,10
248,159.71,74,10
249,159.79,74,9
250,159.87,74,9
251,159.96,74,9
252,160.03,73,8
253,160.16,73,8
254,160.26,72,8
255,160.36,72,9
256,160.47,73,9
257,160.54,73,10
258,160.61,73,10
259,160.70,73,10
260,160.80,72,10
261,160.92,71,10
262,161.04,71,10
263,161.15,71,10
264,161.25,71,10
265,161.32,73,9
266,161.35,74,9
267,161.35,75,9
268,161.36,75,9
269,161.40,75,9
270,161.46,75,9
271,161.54,75,9
272,161.63,75,9
273,161.70,75,9
274,161.76,75,9
275,161.84,75,9
276,161.93,75,9
277,162.01,75,8
278,162.10,75,7
279,162.15,75,7
280,162.22,76,6
281,162.25,77,5
282,162.26,78,5
283,162.28,78,5
284,162.29,79,5
285,162.33,79,4
286,162.39,79,4
287,162.45,78,4
288,162.53,78,4
289,162.61,78,4
290,162.71,77,4
291,162.85,76,4
292,162.97,77,4
293,163.05,78,4
294,163.09,79,4
295,163.12,79,4
296,163.16,79,4
297,163.21,79,4
298,163.27,79,4
299,163.33,80,3
300,163.39,79,3
301,163.47,80,3
302,163.53,79,3
303,163.63,79,3
304,163.72,79,3
305,163.81,78,3
306,163.90,79,3
307,163.96,79,3
308,164.01,80,3
309,164.04,80,3
310,164.10,80,3
311,164.17,80,2
312,164.23,80,2
313,164.30,80,2
314,164.37,81,2
315,164.41,81,2
316,164.46,81,1
317,164.54,80,1
318,164.63,81,1
